keyword,volume,cpc,competition,intent,developer,in_corpus
clara anna fontein,5400,0.02,0.04,informational,Rabie estate (Oasis Life внутри),no
oasis life burgundy estate,1900,0.02,0.06,informational+commercial,Oasis Life,no
de aan-zicht,1600,0,0.01,informational,Balwin,no
suikerbos,720,0.52,0.02,unknown,Balwin,no
tenonq,480,0.45,0.06,informational+commercial,Blok,no
mont reve,210,0.35,0.1,navigational,Berman Brothers,no
oasis life,170,0.64,0.18,navigational,Oasis Life,no
the huntsman balwin,170,0.25,0.07,informational+commercial,Balwin,no
umberwood,40,0,0.02,unknown,Rabie,no
oasis life clara anna fontein,30,0,0.01,unknown,Oasis Life,no
the estate sea point,20,0.42,0.17,unknown,Berman Brothers,no
fifty8onv,20,0,0.06,unknown,Blok,no
two16onhl,20,0,0,unknown,Blok,no
sixty6onk,10,0,0,unknown,Blok,no
sevenons,10,0,0,unknown,Blok,no
