slug,collection,clicks,impressions,position
bantry-bay-property-investment,areas,0,37,6.3
blouberg-property-investment,areas,0,2,7.5
camps-bay-property-investment,areas,2,55,6.7
claremont-property-investment,areas,1,15,5.8
clifton-property-investment,areas,0,12,7.6
constantia-property-investment,areas,0,50,8.9
de-waterkant-property-investment,areas,0,15,7.9
durbanville-property-investment,areas,0,16,10.8
franschhoek-property-investment,areas,0,3,5.7
fresnaye-property-investment,areas,2,29,7.4
gardens-property-investment,areas,0,6,4.0
green-point-property-investment,areas,0,33,6.5
hermanus-property-investment,areas,0,4,5.5
hout-bay-property-investment,areas,1,30,7.1
kalk-bay-false-bay-property-investment,areas,1,14,8.9
llandudno-property-investment,areas,1,20,6.8
milnerton-property-investment,areas,0,6,7.8
newlands-property-investment,areas,0,0,
paarl-property-investment,areas,0,9,7.2
rondebosch-property-investment,areas,0,2,9.0
sea-point-property-investment,areas,1,58,6.5
somerset-west-property-investment,areas,1,3,7.7
table-view-property-investment,areas,0,18,5.0
tamboerskloof-property-investment,areas,0,8,7.1
v-and-a-waterfront-property-investment,areas,1,45,9.0
woodstock-property-investment,areas,2,97,6.8
devmco-group,developers,0,53,33.2
atlantic-seaboard-property-investment-guide,guides,0,0,
cape-town-city-bowl-property-investment,guides,0,0,
century-city-property-investment-guide,guides,4,89,7.8
new-developments-cape-town-2026,guides,0,44,61.4
power-of-attorney-property-south-africa,guides,0,57,34.6
retirement-visa-south-africa-property,guides,1,39,21.4
south-africa-capital-gains-tax-property,guides,0,33,53.7
makers-landing-waterfront,projects,0,3,5.3
nineons-green-point,projects,0,4,6.2
cape-town-property-for-uk-retirees,segments,1,8,5.9
german-buyers-cape-town-property,segments,1,25,9.9
uk-buyers-cape-town-property,segments,1,7,23.4
us-buyers-cape-town-property,segments,0,2,8.0
